section_id,subject_code
BS 1st Sem,COG-101-V
BS 1st Sem,COG-103-V
BS 1st Sem,COG-105-V
BS 1st Sem,COG-121-V
BS 1st Sem,COG-131-V
BS 1st Sem,COG-143-V    ( Theory )
BS 1st Sem,COG-143-V    (Lab Group 1)
BS 1st Sem,COG-143-V    (Lab  Group 2 )
BS 1st Sem,AEC-110-V
BS 1st Sem,VAC-110-V
BS 3rd Sem,COG-201-V
BS 3rd Sem,COG-203-V
BS 3rd Sem,COG-205-V
BS 3rd Sem,COG-213-V
BS 3rd Sem,COG-229-V
BS 3rd Sem,COG-243-V     ( Theory)
BS 3rd Sem,COG-243-V     (Lab Group 1 )
BS 3rd Sem,COG-243-V     (Lab  Group 2 )
BS 3rd Sem,AEC-113-V
BS 5th Sem,COG-301-V
BS 5th Sem,COG-303-V
BS 5th Sem,COG-305-V
BS 5th Sem,COG-315-V
