section_id,subject_code,elective_section_id
MSCCHE I sem,CH-101 B,
,CH-102 B,
,CH-103 B,
,CH-104 X-B,
,CH-104 Y-B,
,CH-105 B,
,CH-106 B,
,CH-107 B,
MSCCHE III sem.,CH-301 B,
,CH-302 B,
,CH-303 B,
,CH-304 B,
,CH-305B,
,CH-306B,
,CH-316B,
,OES 301B,
BSCCHE I sem.,CHU-101-V,
,CHU-103-V,
,CHU-105-V,
,CHU-107-V,
,OSU-115-V,
,JMU-101-V,
,AEC-101-V,
,CHU-109-V,
,CHU-111-V,
,VAC-101-V,
BSCCHE III sem.,CHU-201-V,
,CHU-203-V,
,CHU-205-V,
,CHU-207-V,
,CHU-209-V,
,MTU-211-V,
,AEC-103-V,
,CHU-211-V,
,VAC-108-V,
BSCCHE V sem.,CHU-301-V,
,CHU-302-V,
,CHU-303-V,
,CHU-304-V,
,PHU-317-V,
,PHU-319-V,
,CHU-311-V,
,CHU-312-V,
BSCCHE VII sem.,CHU-401-V,
,CHU-403-V,
,CHU-405-V,
,CHU-407-V,
,CHU-409-V,
,CHU-411-V,
,CHU-413-V,
,CHU-415-V,
,CHU-417-V,
