section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
MSCCHE I sem,CH-101 B,CHE01,,
MSCCHE I sem,CH-102 B,CHE03,,
MSCCHE I sem,CH-103 B,CHE04,,
MSCCHE I sem,CH-104 X-B,MATH16,,
MSCCHE I sem,CH-104 Y-B,CHE12,,
MSCCHE I sem,CH-105 B,CHE01,yes,CHE16
MSCCHE I sem,CH-106 B,CHE03,yes,CHE07
MSCCHE I sem,CH-107 B,CHE04,yes,CHE08
MSCCHE III sem.,CH-301 B,CHE07,,
MSCCHE III sem.,CH-302 B,CHE08,,
MSCCHE III sem.,CH-303 B,CHE09,,
MSCCHE III sem.,CH-304 B,CHE09,yes,CHE02
MSCCHE III sem.,CH-305B,CHE10,,
MSCCHE III sem.,CH-315B,CHE02,,
MSCCHE III sem.,CH-325B,CHE05,,
MSCCHE III sem.,CH-306B,CHE11,yes,CHE09
MSCCHE III sem.,CH-316B,CHE02,,
MSCCHE III sem.,CH-326B,CHE05,,
MSCCHE III sem.,OES 301B,ES06,,
BSCCHE I sem.,CHU-101-V,CHE11,,
BSCCHE I sem.,CHU-103-V,CHE04,,
BSCCHE I sem.,CHU-105-V,CHE17,,
BSCCHE I sem.,CHU-107-V,CHE04,yes,CHE18
BSCCHE I sem.,OSU-115-V,MATH13,,
BSCCHE I sem.,JMU-101-V,,,
BSCCHE I sem.,AEC-101-V,,,
BSCCHE I sem.,CHU-109-V,CHE15,,
BSCCHE I sem.,CHU-111-V,CHE22,,
BSCCHE I sem.,VAC-101-V,ES10,,
BSCCHE III sem.,CHU-201-V,CHE09,no,
BSCCHE III sem.,CHU-203-V,CHE10,,
BSCCHE III sem.,CHU-205-V,CHE08,,
BSCCHE III sem.,CHU-207-V,CHE03,yes,CHE12
BSCCHE III sem.,CHU-209-V,CHE08,yes,CHE13
BSCCHE III sem.,MTU-211-V,MATH04,,
BSCCHE III sem.,AEC-103-V,,,
BSCCHE III sem.,CHU-211-V,CHE11,yes,CHE17
BSCCHE III sem.,VAC-108-V,,,
BSCCHE V sem.,CHU-301-V,CHE12,,
BSCCHE V sem.,CHU-302-V,CHE05,,
BSCCHE V sem.,CHU-303-V,CHE12,yes,CHE10
BSCCHE V sem.,CHU-304-V,CHE05,yes,CHE13
BSCCHE V sem.,PHU-317-V,PHY17,,
BSCCHE V sem.,PHU-319-V,PHY18,yes,PHY17
BSCCHE V sem.,CHU-311-V,CHE11,,
BSCCHE V sem.,CHU-312-V,CHE19,,
BSCCHE VII sem.,CHU-401-V,CHE01,,
BSCCHE VII sem.,CHU-403-V,CHE03,,
BSCCHE VII sem.,CHU-405-V,CHE13,,
BSCCHE VII sem.,CHU-407-V,CHE01,yes,CHE16
BSCCHE VII sem.,CHU-409-V,CHE03,yes,CHE07
BSCCHE VII sem.,CHU-411-V,CHE04,,
BSCCHE VII sem.,CHU-413-V,,,
BSCCHE VII sem.,CHU-415-V,,,
BSCCHE VII sem.,CHU-417-V,,,
