department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,max_numb_students,duration
CHE,CH-101 B,Inorganic Chemistry (General-I),LECTURE HALL,,,4,,1
CHE,CH-102 B,Organic Chemistry (General-I),LECTURE HALL,,,4,,1
CHE,CH-103 B,Physical Chemistry (General-I),LECTURE HALL,,,4,,1
CHE,CH-104 X-B,Mathematics for Chemists,LECTURE HALL,,,3,,1
CHE,CH-104 Y-B,Chemistry of life processes,LECTURE HALL,,,3,,1
CHE,CH-105 B,Inorganic Chemistry Lab-I,LAB,INORGANIC CHEMISTRY LAB,,6,,3
CHE,CH-106 B,Organic Chemistry Lab-1,LAB,ORGANIC CHEMISTRY LAB,,6,,3
CHE,CH-107 B,Physical Chemistry Lab-I,LAB,PHYSICAL CHEMISTRY LAB,,6,,3
CHE,CH-301 B,Spectroscopic methods in Chemistry,LECTURE HALL,,,4,,1
CHE,CH-302 B,Advanced Spectroscopy,LECTURE HALL,,,4,,1
CHE,CH-303 B,Instrumental Methods of Analysis,LECTURE HALL,,,3,,1
CHE,CH-304 B,Instrumental Analysis Lab,LAB,PHYSICAL CHEMISTRY LAB,,6,,3
CHE,CH-305B,Inorganic Chemistry Special-I*,LECTURE HALL,,,4,,1
CHE,CH-315B,Organic Chemistry Special-I*,LECTURE HALL,,,4,,1
CHE,CH-325B,Physical Chemistry Special-I*,LECTURE HALL,,,4,,1
CHE,CH-306B,Inorganic Chemistry Lab Special-I*,LAB,INORGANIC CHEMISTRY LAB,,6,,3
CHE,CH-326B,Physical Chemistry Lab Special-I*,LAB,PHYSICAL CHEMISTRY LAB,,6,,3
CHE,CH-316B,Organic Chemistry Lab Special-I*,LAB,ORGANIC CHEMISTRY LAB,,6,,3
CHE,OES 301B,Waste Management in daily life,LECTURE HALL,,,3,,1
CHE,CHU-101-V,Inorganic Chemistry - I,LECTURE HALL,,,4,,1
CHE,CHU-103-V,Physical Chemistry - I,LECTURE HALL,,,4,,1
CHE,CHU-105-V,Inorganic Chemistry Lab“1,LAB,BSc Lab,,4,,2
CHE,CHU-107-V,Physical Chemistry Lab - I,LAB,PHYSICAL CHEMISTRY LAB,,4,,2
CHE,OSU-115-V,Basic Algebra,LECTURE HALL,,,4,,1
CHE,JMU-101-V,Introduction to Communication,LECTURE HALL,,,3,,1
CHE,AEC-101-V,Writing Skills and the Art of Rhetoric (WSAAR),LECTURE HALL,,,2,,1
CHE,CHU-109-V,Instrumentation Skills-I,LECTURE HALL,,,2,,1
CHE,CHU-111-V,Instrumentation Skills Lab-1,LAB,BSc Lab,,2,,2
CHE,VAC-101-V,Environmental Studies“ I (EVS-I),LECTURE HALL,,,2,,1
CHE,CHU-201-V,Inorganic Chemistry - II,LECTURE HALL,,,4,,1
CHE,CHU-203-V,Organic Chemistry“ II,LECTURE HALL,,,4,,1
CHE,CHU-205-V,Physical Chemistry “ III,LECTURE HALL,,,4,,1
CHE,CHU-207-V,Organic Chemistry Lab “ II,LAB,ORGANIC CHEMISTRY LAB,,4,,2
CHE,CHU-209-V,Physical Chemistry Lab - III,LAB,BSc Lab,,4,,2
CHE,MTU-211-V,Linear Algebra,LECTURE HALL,,,4,,1
CHE,AEC-103-V,Effective Corporate Communication,LECTURE HALL,,,2,,1
CHE,CHU-211-V,Analytical Lab “ I,LAB,BSc Lab,,4,,2
CHE,VAC-108-V,Universal Human Values 2,LECTURE HALL,,,2,,1
CHE,CHU-301-V,Organic Chemistry “ IV,LECTURE HALL,,,4,,1
CHE,CHU-302-V,Physical Chemistry “ V,LECTURE HALL,,,4,,1
CHE,CHU-303-V,Organic Chemistry Lab “ IV,LAB,BSc Lab,,4,,2
CHE,CHU-304-V,Physical Chemistry Lab - V,LAB,PHYSICAL CHEMISTRY LAB,,4,,2
CHE,PHU-317-V,Error Analysis and Research ethics,LECTURE HALL,,,3,,1
CHE,PHU-319-V,Error Analysis and Research ethics lab,LAB,INORGANIC CHEMISTRY LAB,,2,,2
CHE,CHU-311-V,Polymer Chemistry,LECTURE HALL,,,4,,1
CHE,CHU-312-V,Polymer Chemistry lab,LAB,INORGANIC CHEMISTRY LAB,,2,,2
CHE,CHU-401-V,Inorganic Chemistry “ V,LECTURE HALL,,,4,,1
CHE,CHU-403-V,Organic Chemistry “ VI,LECTURE HALL,,,4,,1
CHE,CHU-405-V,Physical Chemistry “ VI,LECTURE HALL,,,4,,1
CHE,CHU-407-V,Inorganic Chemistry lab “ V,LAB,INORGANIC CHEMISTRY LAB,,4,,2
CHE,CHU-409-V,Organic Chemistry Lab “ VI,LAB,ORGANIC CHEMISTRY LAB,,4,,2
CHE,CHU-411-V,Physical Chemistry Lab“ VI,LAB,PHYSICAL CHEMISTRY LAB,,4,,2
CHE,CHU-413-V,Seminar MSc-II,SEMINAR,,,1,,1
CHE,CHU-415-V,Chemistry of life processes,LECTURE HALL,,,3,,1
CHE,CHU-417-V,Research Resourcing,LECTURE HALL,,,3,,1
