section_id,program_name,department_code,section_strength
CSE11 1ST SEM,Computer Science and Engg,CSE,70
CSE12 1ST SEM,Computer Science and Engg,CSE,70
CSE13 1ST  SEM,Computer Science and Engg,CSE,70
CSE 1ST DS,Computer Science and Engg,CSE,70
CSE 1ST RL,Computer Science and Engg,CSE,70
CE31 3rd Sem,Computer Science and Engg,CSE,80
CE32 3rd  Sem,Computer Science and Engg,CSE,80
CE (RL) 3rd Sem,Computer Science and Engg,CSE,35
CE DS  3rd Sem,Computer Science and Engg,CSE,80
IT 3rd Sem,Computer Science and Engg,CSE,80
CE51 5th Sem,Computer Science and Engg,CSE,80
CE52 5th Sem,Computer Science and Engg,CSE,80
CE (RL) 5th Sem,Computer Science and Engg,CSE,36
CE DS  5th Sem,Computer Science and Engg,CSE,80
IT 5th Sem,Computer Science and Engg,CSE,80
CE71 7th Sem,Computer Science and Engg,CSE,80
CE72 7th Sem,Computer Science and Engg,CSE,80
CE (RL) 7th Sem,Computer Science and Engg,CSE,36
CE DS  7th Sem,Computer Science and Engg,CSE,80
IT 7th Sem,Computer Science and Engg,CSE,80
M.Tech CSE (1st ),Computer Science and Engg,CSE,36
M.Tech 3CE,Computer Science and Engg,CSE,18
M.Tech 3CSE,Computer Science and Engg,CSE,18
