section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
CSE11 1ST SEM,MTU-145-V,MATH10,,
CSE11 1ST SEM,ELU-101-V,EL11,,
CSE11 1ST SEM,CHU-141-V,CHE14,,
CSE11 1ST SEM,MEU-101-V,CSE51;CSE52;CSE53,,
CSE11 1ST SEM,ENG-101-V,LL05,,
CSE11 1ST SEM,ELU-103-V,EL10,,
CSE11 1ST SEM,CHU-142-V,CHE27,,
CSE11 1ST SEM,ENG-103-V,LL05,,
,,,,
CSE12 1ST SEM,MTU-145-V,MATH10 ,,
CSE12 1ST SEM,ELU-101-V,EL06,,
CSE12 1ST SEM,CHU-141-V,CHE14,,
CSE12 1ST SEM,MEU-101-V,CSE51;CSE52;CSE53,,
CSE12 1ST SEM,ENG-101-V,LL05,,
CSE12 1ST SEM,ELU-103-V,EL08,yes,EL08; EL05
CSE12 1ST SEM,CHU-142-V,CHE20,,
CSE12 1ST SEM,ENG-103-V,LL05,,
,,,,
CSE13 1ST  SEM,MTU-145-V,MATH17,,
CSE13 1ST  SEM,ELU-101-V,EL09,no,
CSE13 1ST  SEM,CHU-141-V,CHE14,,
CSE13 1ST  SEM,MEU-101-V,CSE51;CSE52;CSE53,,
CSE13 1ST  SEM,ENG-101-V,LL06,,
CSE13 1ST  SEM,ELU-103-V,EL01,yes,EL01; EL02
CSE13 1ST  SEM,CHU-142-V,CHE21,,
CSE13 1ST  SEM,ENG-103-V,LL06,,
,,,,
CSE 1ST DS,MTU-145-V,MATH11,,
CSE 1ST DS,ELU-101-V,EL03,,
CSE 1ST DS,CHU-141-V,CHE16,,
CSE 1ST DS,MEU-101-V,CSE51;CSE52;CSE53,,
CSE 1ST DS,ENG-101-V,LL06,,
CSE 1ST DS,ELU-103-V,EL14,,
CSE 1ST DS,CHU-142-V,CHE24,,
CSE 1ST DS,ENG-103-V,LL06,,
,,,,
CSE 1ST RL,MTU-145-V,MATH11,,
CSE 1ST RL,ELU-101-V,EL14,,
CSE 1ST RL,CHU-141-V,CHE16,,
CSE 1ST RL,MEU-101-V,CSE51;CSE52;CSE53,,
CSE 1ST RL,ENG-101-V,LL05,,
CSE 1ST RL,ELU-103-V,EL14,,
CSE 1ST RL,CHU-142-V,CHE23,,
CSE 1ST RL,ENG-103-V,LL05,,
,,,,
,,,,
CE31 3rd Sem,ESC-301,EE10,,
CE31 3rd Sem,PCC-CS-301,CSE19,,
CE31 3rd Sem,ESC-302,EE04,,
CE31 3rd Sem,BSC-301,MATH14,,
CE31 3rd Sem,HSMC-01,CSE 46,,
CE31 3rd Sem,PCC-CS-302,CSE14,yes,CSE31
CE31 3rd Sem,ESC-303,EE10,,
CE31 3rd Sem,ESC-304,EE04,,
CE31 3rd Sem,PCC-CS-303,CSE19,yes,CSE35
,,,,
CE32 3rd  Sem,ESC-301,EE21,,
CE32 3rd  Sem,PCC-CS-301,CSE10,,
CE32 3rd  Sem,ESC-302,EE27,,
CE32 3rd  Sem,BSC-301,MATH16,,
CE32 3rd  Sem,HSMC-01,CSE 46,,
CE32 3rd  Sem,PCC-CS-302,CSE11,yes,CSE26;CSE31
