section_id,subject_code
MA English Sem I,ENP-101-V
MA English Sem I,ENP-103-V
MA English Sem I,ENP-105-V
MA English Sem I,ENP-107-V
MA English Sem I,ENP-109-V
MA English Sem I,ENP-111-V
MA English Sem I,ENP-113-V
MA English Sem I,ENP-115-V
MA English Sem III,ENP-201-V
MA English Sem III,ENP-203-V
MA English Sem III,ENP-205-V
MA English Sem III,ENP-207-V
MA English Sem III,ENP-209-V
MA English Sem III,ENP-211-V
MA English Sem III,ENP-213-V
MA English Sem III,ENP-221-V
MA English Sem III,ENP-223-V
MA English Sem III,ENP-225-V
BA Englsih Sem I,BEU-101-V1
BA Englsih Sem I,BEU-103-V1
BA Englsih Sem I,BEU-105-V1
BA Englsih Sem I,BEU-107-V1
BA Englsih Sem I,BEU-109-V1
BA Englsih Sem I,BEU-111-V1
