section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
MA English Sem I,ENP-101-V,LL02,,
MA English Sem I,ENP-103-V,LL04,,
MA English Sem I,ENP-105-V,LL01,,
MA English Sem I,ENP-107-V,LL02,,
MA English Sem I,ENP-109-V,LL03,,
MA English Sem I,ENP-111-V,LL02,,
MA English Sem I,ENP-113-V,LL02,yes,LL04
MA English Sem I,ENP-115-V,LL05,,
MA English Sem I,ENP-102-V,LL02,,
MA English Sem I,ENP-104-V,LL02,,
MA English Sem I,ENP-106-V,LL02,,
MA English Sem I,ENP-108-V,LL02,,
MA English Sem I,ENP-110-V,LL02,,
MA English Sem I,ENP-112-V,LL02,,
MA English Sem I,ENP-114-V,LL02,,
MA English Sem I,ENP-116-V,LL02,,
MA English Sem I,ENP-118-V,LL02,,
MA English Sem I,ENP-120-V,LL02,,
MA English Sem III,ENP-201-V,LL02,,
MA English Sem III,ENP-203-V,LL01,,
MA English Sem III,ENP-205-V,LL03,,
MA English Sem III,ENP-207-V,LL03,yes,LL07
MA English Sem III,ENP-209-V,LL05,,
MA English Sem III,ENP-213-V,LL05,,
MA English Sem III,ENP-221-V,LL03,,
BA English Sem I,BEU-101-V1,LL08,,
BA English Sem I,BEU-103-V1,LL09,,
BA English Sem I,BEU-105-V1,LL08,,
BA English Sem I,BEU-107-V1,LL01,,
BA English Sem I,BEU-109-V1,LL09,,
BA English Sem I,BEU-111-V1,LL09,,
