department_code,subject_code,subject_name,room_type_required,lab_category_required,specific_equipment/software_lab,duration,classes_per_week,group_count
LL,ENP-101-V,Poetry from Chaucer to Milton,LECTURE HALL,,,55 mins,4,
LL,ENP-103-V,Eighteenth Century Literature,LECTURE HALL,,,55 mins,4,
LL,ENP-105-V,Literary Criticism,LECTURE HALL,,,55 mins,4,
LL,ENP-107-V,Popular Fiction,LECTURE HALL,,,55 mins,4,
LL,ENP-109-V,Folk Tales, Fantasy and Fables,LECTURE HALL,,,55 mins,4,
LL,ENP-111-V,Fundamentals of Linguistics,LECTURE HALL,,,55 mins,4,
# rooms mention karne the yaha
LL,ENP-113-V,Labs or Minor Project in Graphic Novel Writing,LAB,,Computer systems configured with Graphic Card; pen tablet (WACOM),4 hrs,16,
LL,ENP-115-V,Seminar,SEMINAR,,,55 mins,2,
LL,ENP-201-V,British Fiction,LECTURE HALL,,,55 mins,4,
LL,ENP-203-V,Twentieth Century Poetry and Drama,LECTURE HALL,,,55 mins,4,
LL,ENP-205-V,Indian Literature-I,LECTURE HALL,,,55 mins,4,
LL,ENP-207-V,Labs or Minor Project,LAB,,,4 hrs,16,
LL,ENP-209-V,Seminar,SEMINAR,,,55 mins,2,
LL,ENP-211-V,Modern World Poetry,LECTURE HALL,,,55 mins,4,
LL,ENP-213-V,Literature and Gender,LECTURE HALL,,,55 mins,4,
LL,ENP-221-V,Advertising and Public Relations (OEC-A),LECTURE HALL,,,55 mins,3,
LL,ENP-223-V,Photography and Visual Communication (OEC-B),LECTURE HALL,,,55 mins,3,
LL,ENP-225-V,Drama Writing and Performance (OEC-C),LECTURE HALL,,,55 mins,3,
LL,BEU-101-V1,Medieval to Early Renaissance Literature in Context,LECTURE HALL,,,55 mins,4,
LL,BEU-103-V1,The English Renaissance: Poetry and Prose,LECTURE HALL,,,55 mins,4,
LL,BEU-105-V1,Literary Feature Writing,LECTURE HALL,,,55 mins,4,
LL,BEU-107-V1,Transmedia Storytelling and Visual Narratives: Life Skills and SDG Lab- I,LAB,,,55 mins,4,
LL,BEU-109-V1,Seminar: Critical Thinking and Cognitive Skills for Content Development,SEMINAR,,,55 mins,2,
LL,BEU-111-V1,"Indian Knowledge Systems, Universal Human Values, and Sustainable Development [/SWAYAM-MOOCS]",LECTURE HALL,,,55 mins,4,
