section_id,subject_number,group_count,elective_section_id
BSC 1ST SEM,PHU-101-V,1,
BSC 1ST SEM,PHU-103-V,2,
BSC 1ST SEM,PHU-105-V,1,
BSC 1ST SEM,PHU-107-V,2,
BSC 1ST SEM,PHU-109-V,1,
BSC 1ST SEM,PHU-111-V,1,
BSC 1ST SEM,PHU-113-V,2,
BSC 1ST SEM,VAC-101-V,1,
BSC 1ST SEM,AEC-101-V,1,
BSC 1ST SEM,OSU-109-V,1,
BSC 3RD SEM,PHU-201-V,1,
BSC 3RD SEM,PHU-203-V,2,
BSC 3RD SEM,PHU-205-V,1,
BSC 3RD SEM,PHU-207-V,2,
BSC 3RD SEM,PHU-209-V,1,
BSC 3RD SEM,PHU-215-V,1,
BSC 3RD SEM,PHU-217-V,2,
BSC 3RD SEM,OSU-213-V,1,
BSC 3RD SEM,OSU-201-V,1,
BSC 3RD SEM,OSU-207-V,2,
BSC 3RD SEM,AEC-103-V,1,
BSC 3RD SEM,VAC-201-V,1,
BSC 5TH SEM,PHU-301-V,1,
BSC 5TH SEM,PHU-303-V,2,
BSC 5TH SEM,PHU-305-V,1,
BSC 5TH SEM,PHU-307-V,2,
BSC 5TH SEM,PHU-309-V,1,
BSC 5TH SEM,PHU-311-V,2,
BSC 5TH SEM,PHU-313-V,1,
BSC 5TH SEM,PHU-315-V,2,
BSC 5TH SEM,PHU-317-V,1,
BSC 5TH SEM,PHU-319-V,2,
MSC 1ST SEM,PHP-101-V,1,
MSC 1ST SEM,PHP-103-V,1,
MSC 1ST SEM,PHP-105-V,1,
MSC 1ST SEM,PHP-107-V,1,
MSC 1ST SEM,PHP-109-V,2,
MSC 1ST SEM,PHP-111-V,2,
MSC 1ST SEM,PHP-113-V,1,
MSC 3RD SEM,PHP-201-V,1,
MSC 3RD SEM,PHP-203-V,1,
MSC 3RD SEM,PHP-205-V,1,
MSC 3RD SEM,PHP-221-V,1,
MSC 3RD SEM,PHP-223-V,1,
MSC 3RD SEM,PHP-225-V,2,
MSC 3RD SEM,PHP-227-V,2,
MSC 3RD SEM,PHP-231-V,1,
MSC 3RD SEM,PHP-233-V,1,
MSC 3RD SEM,PHP-235-V,2,
MSC 3RD SEM,PHP-237-V,2,
MSC 3RD SEM,OSP-201-V,1,
