section_id,subject_code,Teacher_id,is_shared_lab,second_teacher_id
BSC 1ST SEM,PHU-101-V,PHY10,,
BSC 1ST SEM,PHU-103-V,PHY10;PHY10,yes,PHY14;PHY15
BSC 1ST SEM,PHU-105-V,PHY14,,
BSC 1ST SEM,PHU-107-V,PHY14,yes,PHY04
BSC 1ST SEM,PHU-109-V,PHY14,,
BSC 1ST SEM,PHU-111-V,PHY15,,
BSC 1ST SEM,PHU-113-V,PHY15,yes,XXXXX
BSC 1ST SEM,VAC-101-V,ES09,,
BSC 1ST SEM,AEC-101-V,LL09,,
BSC 1ST SEM,OSU-109-V,MATH11,,
BSC 3RD SEM,PHU-201-V,PHY11,,
BSC 3RD SEM,PHU-203-V,PHY11;PHY11,yes,PHY15;PHY05
BSC 3RD SEM,PHU-205-V,PHY15,,
BSC 3RD SEM,PHU-207-V,PHY06;PHY06,yes,PHY08;PHY12
BSC 3RD SEM,PHU-209-V,PHY09,,
BSC 3RD SEM,PHU-215-V,PHY06,,
BSC 3RD SEM,PHU-217-V,PHY09,yes,PHY07
BSC 3RD SEM,OSU-213-V,MATH11,,
BSC 3RD SEM,OSU-201-V,PHY02,,
BSC 3RD SEM,OSU-207-V,PHY15,yes,PHY02
BSC 3RD SEM,AEC-103-V,LL09,,
BSC 3RD SEM,VAC-201-V,ES08,,
BSC 5TH SEM,PHU-301-V,PHY07,,
BSC 5TH SEM,PHU-303-V,PHY11,yes,PHY07
BSC 5TH SEM,PHU-305-V,PHY01,,
BSC 5TH SEM,PHU-307-V,PHY01,yes,PHY12
BSC 5TH SEM,PHU-309-V,PHY04,,
BSC 5TH SEM,PHU-311-V,PHY06,yes,PHY05
BSC 5TH SEM,PHU-313-V,PHY13,,
BSC 5TH SEM,PHU-315-V,PHY09,yes,PHY15
BSC 5TH SEM,PHU-317-V,PHY19,yes,PHY21
BSC 5TH SEM,PHU-319-V,PHY04,yes,PHY13
MSC 1ST SEM,PHP-101-V,PHY06,,
MSC 1ST SEM,PHP-103-V,PHY12,,
MSC 1ST SEM,PHP-105-V,PHY07,,
MSC 1ST SEM,PHP-107-V,PHY09,,
MSC 1ST SEM,PHP-109-V,PHY02;PHY02;PHY02;PHY02;PHY02;PHY02,yes,PHY06;PHY01;PHY03;PHY07;PHY04;PHY10
MSC 1ST SEM,PHP-111-V,PHY06;PHY06;PHY06;PHY06;PHY06;PHY06,yes,PHY02;PHY01;PHY03;PHY07;PHY04;PHY10
MSC 1ST SEM,PHP-113-V,PHY01,yes,PHY03
MSC 3RD SEM,PHP-201-V,PHY13,,
MSC 3RD SEM,PHP-203-V,PHY12,,
MSC 3RD SEM,PHP-205-V,PHY04,yes,PHY06
MSC 3RD SEM,PHP-221-V,PHY03,,
MSC 3RD SEM,PHP-223-V,PHY02,,
MSC 3RD SEM,PHP-225-V,PHY03;PHY03,yes,PHY13;PHY08
MSC 3RD SEM,PHP-227-V,PHY08;PHY08,yes,PHY03;PHY13
MSC 3RD SEM,PHP-231-V,PHY05,,
MSC 3RD SEM,PHP-233-V,PHY04,,
MSC 3RD SEM,PHP-235-V,PHY05;PHY05;PHY05,yes,PHY08;PHY14;PHY01
MSC 3RD SEM,PHP-237-V,PHY08;PHY08;PHY08,yes,PHY01;PHY14;PHY05
MSC 3RD SEM,OSP-201-V,ES05,,
