section_id,subject_code
CSE11 1ST SEM,MTU-145-V
CSE11 1ST SEM,ELU-101-V
CSE11 1ST SEM,CHU-141-V
CSE11 1ST SEM,MEU-101-V
CSE11 1ST SEM,ENG-101-V
CSE11 1ST SEM,ELU-103-V
CSE11 1ST SEM,CHU-142-V
CSE11 1ST SEM,ENG-103-V
CSE12 1ST SEM,MTU-145-V
CSE12 1ST SEM,ELU-101-V
CSE12 1ST SEM,CHU-141-V
CSE12 1ST SEM,MEU-101-V
CSE12 1ST SEM,ENG-101-V
CSE12 1ST SEM,ELU-103-V
CSE12 1ST SEM,CHU-142-V
CSE12 1ST SEM,ENG-103-V
CSE13 1ST  SEM,MTU-145-V
CSE13 1ST  SEM,ELU-101-V
CSE13 1ST  SEM,CHU-141-V
CSE13 1ST  SEM,MEU-101-V
CSE13 1ST  SEM,ENG-101-V
CSE13 1ST  SEM,ELU-103-V
CSE13 1ST  SEM,CHU-142-V
CSE13 1ST  SEM,ENG-103-V
CSE 1ST DS,MTU-145-V
CSE 1ST DS,ELU-101-V
CSE 1ST DS,CHU-141-V
CSE 1ST DS,MEU-101-V
CSE 1ST DS,ENG-101-V
CSE 1ST DS,ELU-103-V
CSE 1ST DS,CHU-142-V
CSE 1ST DS,ENG-103-V
CSE 1ST RL,MTU-145-V
CSE 1ST RL,ELU-101-V
CSE 1ST RL,CHU-141-V
CSE 1ST RL,MEU-101-V
CSE 1ST RL,ENG-101-V
CSE 1ST RL,ELU-103-V
CSE 1ST RL,CHU-142-V
CSE 1ST RL,ENG-103-V
CE31 3rd Sem,ESC-301
CE31 3rd Sem,PCC-CS-301
CE31 3rd Sem,ESC-302
CE31 3rd Sem,BSC-301
CE31 3rd Sem,HSMC-01
CE31 3rd Sem,PCC-CS-302
CE31 3rd Sem,ESC-303
CE31 3rd Sem,ESC-304
CE31 3rd Sem,PCC-CS-303
CE32 3rd Sem,ESC-301
CE32 3rd Sem,PCC-CS-301
CE32 3rd Sem,ESC-302
CE32 3rd Sem,BSC-301
CE32 3rd Sem,HSMC-01
CE32 3rd Sem,PCC-CS-302
CE32 3rd Sem,ESC-303
CE32 3rd Sem,ESC-304
CE32 3rd Sem,PCC-CS-303
CE (RL) 3rd Sem,ESC-301
CE (RL) 3rd Sem,PCC-CS-301
CE (RL) 3rd Sem,ESC-302
CE (RL) 3rd Sem,BSC-301
CE (RL) 3rd Sem,HSMC-01
CE (RL) 3rd Sem,PCC-CS-302
CE (RL) 3rd Sem,ESC-303
CE (RL) 3rd Sem,ESC-304
CE (RL) 3rd Sem,PCC-CS-303
CE DS  3rd Sem,BSC- DS-301
CE DS  3rd Sem,PCC- CS-301
CE DS  3rd Sem,PCC- DS-301
CE DS  3rd Sem,BSC- DS-302
CE DS  3rd Sem,HSMC- 01
CE DS  3rd Sem,PCC- DS-302
CE DS  3rd Sem,BSC- DS-303
CE DS  3rd Sem,PCC- DS-303
CE DS  3rd Sem,PCC- CS-303
IT 3rd Sem,ESC-301
IT 3rd Sem,PCC-CS-301
IT 3rd Sem,ESC-302
IT 3rd Sem,PCC-CS-302
IT 3rd Sem,BSC-301
IT 3rd Sem,HSMC-02
IT 3rd Sem,ESC-303
IT 3rd Sem,ESC-304
IT 3rd Sem,PCC-CS-303
CE51 5th Sem,ESC-501
CE51 5th Sem,PCC-CS-501
CE51 5th Sem,PCC-CS-502
CE51 5th Sem,PCC-CS-503
CE51 5th Sem,BSC-01
CE51 5th Sem,(PEC-CS-D-501)
CE51 5th Sem,MC-01
CE51 5th Sem,H-102
CE51 5th Sem,PCC-CS-504
CE51 5th Sem,PCC-CS-505
CE52 5th Sem,ESC-501
CE52 5th Sem,PCC-CS-501
CE52 5th Sem,PCC-CS-502
CE52 5th Sem,PCC-CS-503
CE52 5th Sem,BSC-01
CE52 5th Sem,(PEC-CS-D-501)
CE52 5th Sem,MC-01
CE52 5th Sem,H-102
CE52 5th Sem,PCC-CS-504
CE52 5th Sem,PCC-CS-505
CE (RL) 5th Sem,ESC-501
CE (RL) 5th Sem,PCC-CS-501
CE (RL) 5th Sem,PCC-CS-502
CE (RL) 5th Sem,PCC-CS-503
CE (RL) 5th Sem,BSC-01
CE (RL) 5th Sem,(PEC-CS-D-501)
CE (RL) 5th Sem,MC-01
CE (RL) 5th Sem,H-102
CE (RL) 5th Sem,PCC-CS-504
CE (RL) 5th Sem,PCC-CS-505
CE DS  5th Sem,PCC-DS-501
CE DS  5th Sem,PCC-CS-404
CE DS  5th Sem,PCC-DS-502
CE DS  5th Sem,PCC-CS-403
CE DS  5th Sem,BSC-01
CE DS  5th Sem,PCC-DS-503
CE DS  5th Sem,MC-01
CE DS  5th Sem,PCC-DS-504
CE DS  5th Sem,PCC-CS-406
CE DS  5th Sem,H-102
IT 5th Sem,PCC-CS-501
IT 5th Sem,PCC-CS-502
IT 5th Sem,PCC-CS-503
IT 5th Sem,PCC-CS-602
IT 5th Sem,HSMC-01
IT 5th Sem,PEC-CS-A-702
IT 5th Sem,MC-01
IT 5th Sem,HSMC(H-102)
IT 5th Sem,PCC-CS-504
IT 5th Sem,PCC-CS-505
CE71 7th Sem,PEC-CS-S-701(I)
CE71 7th Sem,PEC-CS-D-702(I)
CE71 7th Sem,PEC-CS-A-703
CE71 7th Sem,OEC-CS-701(IV)
CE71 7th Sem,PEC-IT-I-703
CE71 7th Sem,HSMC-03
CE72 7th Sem,PEC-CS-S-701(I)
CE72 7th Sem,PEC-CS-D-702(I)
CE72 7th Sem,PEC-CS-A-703
CE72 7th Sem,OEC-CS-701(IV)
CE72 7th Sem,PEC-IT-I-703
CE72 7th Sem,HSMC-03
CE (RL) 7th Sem,PEC-CS-S-701(I)
CE (RL) 7th Sem,PEC-CS-D-702(I)
CE (RL) 7th Sem,PEC-CS-A-703
CE (RL) 7th Sem,OEC-CS-701(IV)
CE (RL) 7th Sem,PEC-IT-I-703
CE (RL) 7th Sem,HSMC-03
CE DS  7th Sem,PCC-DS-701
CE DS  7th Sem,PEC-CS-D-701
CE DS  7th Sem,PCC-DS-703
CE DS  7th Sem,OEC-CS-701(IV)
CE DS  7th Sem,OEC-CS-702(IV)
CE DS  7th Sem,PCC-DS-704
IT 7th Sem,PEC-IT-I-701
IT 7th Sem,PEC-CS-D-501
IT 7th Sem,PEC-CS-D-703
IT 7th Sem,OEC-CS-701(IV)
IT 7th Sem,PEC-CS-S-701(I)
IT 7th Sem,HSMC-03
M.Tech CSE (1st ),MCS-18-101
M.Tech CSE (1st ),MCS-18-102
M.Tech CSE (1st ),MCN-18-101
M.Tech CSE (1st ),MCS-18-112
M.Tech CSE (1st ),RMI-101
M.Tech CSE (1st ),AUD-01
M.Tech CSE (1st ),MCS-18-104
M.Tech CSE (1st ),MCN-18-112A
M.Tech 3CE,MCS-18-304
M.Tech 3CE,OEC-102A
M.Tech 3CE,AC-02
M.Tech 3CE,MCS-18-101
M.Tech 3CSE,MCS-18-304
M.Tech 3CSE,OEC-102A
M.Tech 3CSE,AC-02
M.Tech 3CSE,MCS-18-101
