section_id,subject_number
CE11 1st Sem,MTU-145-V
CE11 1st Sem,ELU-101-V
CE11 1st Sem,CHU-141-V
CE11 1st Sem,MEU-101-V
CE11 1st Sem,ENG-101-V
CE11 1st Sem,ELU-103-V
CE11 1st Sem,CHU-142-V
CE11 1st Sem,ENG-103-V
CE12 1st Sem,MTU-145-V
CE12 1st Sem,ELU-101-V
CE12 1st Sem,CHU-141-V
CE12 1st Sem,MEU-101-V
CE12 1st Sem,ENG-101-V
CE12 1st Sem,ELU-103-V
CE12 1st Sem,CHU-142-V
CE12 1st Sem,ENG-103-V
CE13 1st Sem,MTU-145-V
CE13 1st Sem,ELU-101-V
CE 13 1st Sem,CHU-141-V
CE 13 1st Sem,MEU-101-V
CE 13 1st Sem,ENG-101-V
CE 13 1st Sem,ELU-103-V
CE 13 1st Sem,CHU-142-V
CE 13 1st Sem,ENG-103-V
CEDS 1st Sem,MTU-145-V
CEDS 1st Sem,ELU-101-V
CEDS 1st Sem,CHU-141-V
CEDS 1st Sem,MEU-101-V
CEDS 1st Sem,ENG-101-V
CEDS 1st Sem,ELU-103-V
CEDS 1st Sem,CHU-142-V
CEDS 1st Sem,ENG-103-V
CERL 1st Sem,MTU-145-V
CERL 1st Sem,ELU-101-V
CERL 1st Sem,CHU-141-V
CERL 1st Sem,MEU-101-V
CERL 1st Sem,ENG-101-V
CERL1st Sem,ELU-103-V
CERL 1st Sem,CHU-142-V
CERL 1st Sem,ENG-103-V
CE31 3rd Sem,ESC-301
CE31 3rd Sem,PCC-CS-301
CE31 3rd Sem,ESC-302
CE31 3rd Sem,BSC-301
CE31 3rd Sem,HSMC-01
CE31 3rd Sem,PROJ-CS-301
CE31 3rd Sem,PCC-CS-302
CE31 3rd Sem,ESC-303
CE31 3rd Sem,ESC-304
CE31 3rd Sem,PCC-CS-303
CE32 3rd Sem,ESC-301
CE32 3rd Sem,PCC-CS-301
CE32 3rd Sem,ESC-302
CE32 3rd Sem,BSC-301
CE32 3rd Sem,HSMC-01
CE32 3rd Sem,PROJ-CS-301
CE32 3rd Sem,PCC-CS-302
CE32 3rd Sem,ESC-303
CE32 3rd Sem,ESC-304
CE32 3rd Sem,PCC-CS-303
CE RL 3rd Sem,ESC-301
CE RL 3rd Sem,PCC-CS-301
CE RL 3rd Sem,ESC-302
CE RL 3rd Sem,BSC-301
CE RL 3rd Sem,HSMC-01
CE RL 3rd Sem,PROJ-CS-301
CE RL 3rd Sem,PCC-CS-302
CE RL 3rd Sem,ESC-303
CE RL 3rd Sem,ESC-304
CE RL 3rd Sem,PCC-CS-303
CE DS 3rd Sem,BSC- DS-301
CE DS 3rd Sem,PCC- CS-301
CE DS 3rd Sem,PCC- DS-301
CE DS 3rd Sem,BSC- DS-302
CE DS 3rd Sem,HSMC- 01
CE DS 3rd Sem,PROJ- CS-301
CE DS 3rd Sem,PCC- DS-302
CE DS 3rd Sem,BSC- DS-303
CE DS 3rd Sem,PCC- DS-303
CE DS 3rd Sem,PCC- CS-303
 IT 3rd Sem,ESC-301
 IT 3rd Sem,PCC-CS-301
 IT 3rd Sem,ESC-302
 IT 3rd Sem,PCC-CS-302
 IT 3rd Sem,BSC-301
 IT 3rd Sem,HSMC-02
 IT 3rd Sem,ESC-303
 IT 3rd Sem,ESC-304
 IT 3rd Sem,PCC-CS-303
 IT 3rd Sem,PROJ-CS-301
CE 51 5th Sem,ESC-501
CE 51 5th Sem,PCC-CS-501
CE 51 5th Sem,PCC-CS-502
CE 51 5th Sem,PCC-CS-503
CE 51 5th Sem,BSC-01
CE 51 5th Sem,(PEC-CS-D-501)
CE 51 5th Sem,MC-01
CE 51 5th Sem,H-102
CE 51 5th Sem,PROJ-CS-501
CE 51 5th Sem,PCC-CS-504
CE 51 5th Sem,PCC-CS-505
CE 52 5th Sem,ESC-501
CE 52 5th Sem,PCC-CS-501
CE 52 5th Sem,PCC-CS-502
CE 52 5th Sem,PCC-CS-503
CE 52 5th Sem,BSC-01
CE 52 5th Sem,(PEC-CS-D-501)
CE 52 5th Sem,MC-01
CE 52 5th Sem,H-102
CE 52 5th Sem,PROJ-CS-501
CE 52 5th Sem,PCC-CS-504
CE 52 5th Sem,PCC-CS-505
CE 5 RL 5th Sem,ESC-501
CE 5 RL 5th Sem,PCC-CS-501
CE 5 RL 5th Sem,PCC-CS-502
CE 5 RL 5th Sem,PCC-CS-503
CE 5 RL 5th Sem,BSC-01
CE 5 RL 5th Sem,(PEC-CS-D-501)
CE 5 RL 5th Sem,MC-01
CE 5 RL 5th Sem,H-102
CE 5 RL 5th Sem,PROJ-CS-501
CE 5 RL 5th Sem,PCC-CS-504
CE 5 RL 5th Sem,PCC-CS-505
CE DS 5th Sem,PCC-DS-501
CE DS 5th Sem,PCC-CS-404
CE DS 5th Sem,PCC-DS-502
CE DS 5th Sem,PCC-CS-403
CE DS 5th Sem,BSC-01
CE DS 5th Sem,PCC-DS-503
CE DS 5th Sem,MC-01
CE DS 5th Sem,PROJ-CS-501
CE DS 5th Sem,PCC-DS-504
CE DS 5th Sem,PCC-CS-406
CE DS 5th Sem,H-102
 IT 5th Sem,PCC-CS-501
 IT 5th Sem,PCC-CS-502
 IT 5th Sem,PCC-CS-503
 IT 5th Sem,PCC-CS-602
 IT 5th Sem,HSMC-01
 IT 5th Sem,PEC-CS-A-702
 IT 5th Sem,MC-01
 IT 5th Sem,HSMC(H-102)
 IT 5th Sem,PCC-CS-504
 IT 5th Sem,PCC-CS-505
CE 71 7th Sem,PEC-CS-S-70`1(I)
CE 71 7th Sem,PEC-CS-D-702(I)
CE 71 7th Sem,PEC-CS-A-703
CE 71 7th Sem,OEC-CS-701(IV)
CE 71 7th Sem,PEC-IT-I-703
CE 71 7th Sem,HSMC-03
CE 71 7th Sem,PROJ-CS-701
CE 72 7th Sem,PEC-CS-S-70`1(I)
CE 72 7th Sem,PEC-CS-D-702(I)
CE 72 7th Sem,PEC-CS-A-703
CE 72 7th Sem,OEC-CS-701(IV)
CE 72 7th Sem,PEC-IT-I-703
CE 72 7th Sem,HSMC-03
CE 72 7th Sem,PROJ-CS-701
CE 7 RL 7th Sem,PEC-CS-S-70`1(I)
CE 7 RL 7th Sem,PEC-CS-D-702(I)
CE 7 RL 7th Sem,PEC-CS-A-703
CE 7 RL 7th Sem,OEC-CS-701(IV)
CE 7 RL 7th Sem,PEC-IT-I-703
CE 7 RL 7th Sem,HSMC-03
CE 7 RL 7th Sem,PROJ-CS-701
CE DS 7th Sem,PCC-DS-701
CE DS 7th Sem,PEC-CS-D-701
CE DS 7th Sem,PCC-DS-703
CE DS 7th Sem,OEC-CS-701(IV))
CE DS 7th Sem,OEC-CS-702(IV)
CE DS 7th Sem,PCC-DS-704
CE DS 7th Sem,PROJ-CS-701
IT 7TH Sem,PEC-IT-I-701
IT 7TH Sem,PEC-CS-D-501
IT 7TH Sem,PEC-CS-D-703
IT 7TH Sem,OEC-CS-701(IV)
IT 7TH Sem,PEC-CS-S-701(I)
IT 7TH Sem,MC-03
IT 7TH Sem,PROJ-CS-701
M.Tech 1CSE,MCS-18-101
M.Tech 1CSE,MCS-18-102
M.Tech 1CSE,MCN-18-101
M.Tech 1CSE,MCS-18-112
