section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
CE11 1st Sem,MTU-145-V,MATH10,,
CE11 1st Sem,ELU-101-V,EL11,,
CE11 1st Sem,CHU-141-V,CHE14,,
CE11 1st Sem,MEU-101-V,CSE51;CSE52;CSE53,,
CE11 1st Sem,ENG-101-V,LL05,,
CE11 1st Sem,ELU-103-V,EL10,,
CE11 1st Sem,CHU-142-V,CHE27,,
CE11 1st Sem,ENG-103-V,LL05,,
,,,,
CE12 1st Sem,MTU-145-V,MATH10 ,,
CE12 1st Sem,ELU-101-V,EL06,,
CE12 1st Sem,CHU-141-V,CHE14,,
CE12 1st Sem,MEU-101-V,CSE51;CSE52;CSE53,,
CE12 1st Sem,ENG-101-V,LL05,,
CE12 1st Sem,ELU-103-V,EL08;EL08,yes,EL08; EL05
CE12 1st Sem,CHU-142-V,CHE20,,
CE12 1st Sem,ENG-103-V,LL05,,
,,,,
CE13 1st Sem,MTU-145-V,MATH17,,
CE13 1st Sem,ELU-101-V,EL09,no,
CE 13 1st Sem,CHU-141-V,CHE14,,
CE 13 1st Sem,MEU-101-V,CSE51;CSE52;CSE53,,
CE 13 1st Sem,ENG-101-V,LL06,,
CE 13 1st Sem,ELU-103-V,EL01;EL01,yes,EL01; EL02
CE 13 1st Sem,CHU-142-V,CHE21,,
CE 13 1st Sem,ENG-103-V,LL06,,
,,,,
CEDS 1st Sem,MTU-145-V,MATH11,,
CEDS 1st Sem,ELU-101-V,EL03,,
CEDS 1st Sem,CHU-141-V,CH16,,
CEDS 1st Sem,MEU-101-V,CSE51;CSE52;CSE53,,
CEDS 1st Sem,ENG-101-V,LL06,,
CEDS 1st Sem,ELU-103-V,EL14,,
CEDS 1st Sem,CHU-142-V,CHE24,,
CEDS 1st Sem,ENG-103-V,LL06,,
,,,,
CERL 1st Sem,MTU-145-V,MATH11,,
CERL 1st Sem,ELU-101-V,EL14,,
CERL 1st Sem,CHU-141-V,CHE16,,
CERL 1st Sem,MEU-101-V,CSE51;CSE52;CSE53,,
CERL 1st Sem,ENG-101-V,LL05,,
CERL1st Sem,ELU-103-V,EL14,,
CERL 1st Sem,CHU-142-V,CHE23,,
CERL 1st Sem,ENG-103-V,LL05,,
,,,,
,,,,
CE31 3rd Sem,ESC-301,EE10,,
CE31 3rd Sem,PCC-CS-301,CSE19,,
CE31 3rd Sem,ESC-302,EE04,,
CE31 3rd Sem,BSC-301,MATH14,,
CE31 3rd Sem,HSMC-01,CSE 46,,
CE31 3rd Sem,PCC-CS-302,CSE14,yes,CSE31
CE31 3rd Sem,ESC-303,EE10,,
CE31 3rd Sem,ESC-304,EE04,,
CE31 3rd Sem,PCC-CS-303,CSE19,yes,CSE35
,,,,
CE32 3rd Sem,ESC-301,EE21,,
CE32 3rd Sem,PCC-CS-301,CSE10,,
CE32 3rd Sem,ESC-302,EE27,,
CE32 3rd Sem,BSC-301,MATH16,,
CE32 3rd Sem,HSMC-01,CSE 46,,
CE32 3rd Sem,PCC-CS-302,CSE11;CSE11,yes,CSE26;CSE31
CE32 3rd Sem,ESC-303,EE21,,
CE32 3rd Sem,ESC-304,EE27,,
CE32 3rd Sem,PCC-CS-303,CSE10;CSE10,yes,CSE29;CSE04
,,,,
CE RL 3rd Sem,ESC-301,EE16,,
CE RL 3rd Sem,PCC-CS-301,CSE22,,
CE RL 3rd Sem,ESC-302,EE07,,
CE RL 3rd Sem,BSC-301,MATH12,,
CE RL 3rd Sem,HSMC-01,CSE 46,,
CE RL 3rd Sem,PCC-CS-302,CSE13,yes,CSE32
CE RL 3rd Sem,ESC-303,EE16,,
CE RL 3rd Sem,ESC-304,EE07,,
CE RL 3rd Sem,PCC-CS-303,CSE22,no,
,,,,
CE DS 3rd Sem,BSC- DS-301,MATH14,,
CE DS 3rd Sem,PCC- CS-301,CSE37,,
CE DS 3rd Sem,PCC- DS-301,CSE25,,
CE DS 3rd Sem,BSC- DS-302,MATH17,,
CE DS 3rd Sem,HSMC- 01,CSE 46,,
CE DS 3rd Sem,PCC- DS-302,CSE26;CSE26,yes,CSE28;CSE26
CE DS 3rd Sem,BSC- DS-303,CSE16,yes,CSE18
CE DS 3rd Sem,PCC- DS-303,CSE25,,
CE DS 3rd Sem,PCC- CS-303,CSE37,yes,CSE39
,,,,
 IT 3rd Sem,ESC-301,EE14,,
 IT 3rd Sem,PCC-CS-301,CSE20,,
 IT 3rd Sem,ESC-302,EE19,,
 IT 3rd Sem,PCC-CS-302,CSE17,yes,CSE33
 IT 3rd Sem,BSC-301,MATH14,,
 IT 3rd Sem,HSMC-02,MS21,,
 IT 3rd Sem,ESC-303,EE14,,
 IT 3rd Sem,ESC-304,EE19,,
 IT 3rd Sem,PCC-CS-303,CSE20;CSE20,yes,"CSE20,CSE22"
,,,,
CE 51 5th Sem,ESC-501,EE22,,
CE 51 5th Sem,PCC-CS-501,CSE08,,
CE 51 5th Sem,PCC-CS-502,CSE23,,
CE 51 5th Sem,PCC-CS-503,CSE12,,
CE 51 5th Sem,BSC-01,LS19,,
CE 51 5th Sem,(PEC-CS-D-501),CSE14,,
CE 51 5th Sem,MC-01,CSE56,,
CE 51 5th Sem,H-102,CSE47,,
CE 51 5th Sem,PCC-CS-504,CSE08,yes,CSE27
CE 51 5th Sem,PCC-CS-505,CSE12;CSE12,yes,"CSE34,CSE35"
,,,,
CE 52 5th Sem,ESC-501,EE01,,
CE 52 5th Sem,PCC-CS-501,CSE27,,
CE 52 5th Sem,PCC-CS-502,CSE32,,
CE 52 5th Sem,PCC-CS-503,CSE15,,
CE 52 5th Sem,BSC-01,LS19,,
CE 52 5th Sem,(PEC-CS-D-501),CS11,,
