department_code,subject_number,subject_name,room_required,required_lab_category,specific_equipment/software_lab,classes_per_week,max_numb_students,duration,group_count
EL,PHU-153-V,Physics (Waves and Optics),LECTURE HALL,,,5,,1,1
EL,MTU-143-V,Mathematics-I (Calculus and Differential Equations),LECTURE HALL,,,5,,1,1
EL,MEU-103-V,Engineering Graphics and Design,ED HALL,,,2,,4,1
EL,CSU-101-V,Programming for Problem Solving,LECTURE HALL,,,3,,3,1
EL,MEU-101-V,Workshop- I,LAB,Mechanical Workshop,,1,,4,1
EL,PHU-155-V,Physics (Wave and Optics) lab,LAB,Physics Dept,,1,,3,2
EL,CSU-103-V,Programming for Problem-Solving Lab,LAB,CE Department,,1,,4,2
EL,LSU- 241-V,Biology,LECTURE HALL,,,3,,1,1
EL,ELU-201-V,Electrical Circuit Analysis,LECTURE HALL,,,5,,1,1
EL,ELU-203-V,Analog Electronics Circuits,LECTURE HALL,,,3,,1,1
EL,ELU-205-V,Electrical Machines-1,LECTURE HALL,,,3,,1,1
EL,ELU-207-V,Electromagnetic Fields,LECTURE HALL,,,5,,1,1
EL,OEU-201-V,Engineering Mechanics,LECTURE HALL,,,5,,1,1
EL,MTU-217-V,Mathematics-III (Probability and Statistics),LECTURE HALL,,,5,,1,1
EL,VAC-112-V,Constitution of India,LECTURE HALL,,,4,,1,1
EL,ELU-209-V,Analog Electronics Circuit Lab,LAB,Power Electronics Lab,,1,,2,4
EL,ELU-211-V,Electrical Machines Lab -1,LAB,Electrical Machine Lab,,1,,2,4
EL,ELU-215-V,Project-1,LAB,,,1,,2,1
EL,ELU-213-V,Electrical Workshop-III,LAB,GEW,,1,,4,1
EL,ELU-301-V,Power Systems – I (Apparatus and Modelling),LECTURE HALL,,,3,,1,1
EL,ELU-303-V,Control Systems,LECTURE HALL,,,3,,1,1
EL,ELU-305-V,Microprocessors,LECTURE HALL,,,3,,1,1
EL,LSU-241-V,Biology,LECTURE HALL,,,3,,1,1
EL,ELU-317-V,LCPWM,LECTURE HALL,,,3,,1,1
EL,OEU-264-V,Programming in PYTHON,LECTURE HALL,,,3,,1,1
EL,ELU-307-V,Power Systems Lab-1,LAB,Power System Lab,,1,,2,4
EL,ELU-309-V,Control Systems Lab,LAB,Research Lab,,1,,2,4
EL,ELU-311-V,Microprocessors Lab,LAB,Power Electronics Lab,,1,,2,4
EL,ELU-313-V,Electrical Workshop-V,LAB,GEW,,1,,4,2
EL,ELU-315-V,Project-3,LAB,,,1,,2,1
EL,ELU-407-V,HVDC Transmission (Program Elective-5),SMART CLASS ROOM,,,3,,1,1
EL,ELU-409-V,Power Quality and FACTS (Program Elective-5),LECTURE HALL,,,3,,1,1
EL,ELU-411-V,High Voltage Engineering,SMART CLASS ROOM,,,3,,1,1
EL,OEU-260-V,Power Plant Engineering,SMART CLASS ROOM,,,3,,1,1
EL,OEU-220-V,CL&S,SMART CLASS ROOM,,,3,,1,1
EL,OEU-224-V,DSA (Open Elective 5),SMART CLASS ROOM,,,3,,1,1
EL,ELOE-104,CN (Open Elective5),LECTURE HALL,,,3,,1,1
EL,ELU-401-V,Major Project,LAB,,,4,,4,1
EL,ELU-403-V,Electrical Workshop-VII,LAB,GEW,,2,,4,2
EL,OEU-206-V,Organizational Behaviour,SMART CLASS ROOM,,,3,,1,1
EL,MPED101,Electric Drives System,LECTURE HALL,,,3,,1,1
EL,MPED102,"Modeling and Analysis of 
 Electrical Machines",LECTURE HALL,,,3,,1,1
EL,RM101,Research Methodology and IPR,LECTURE HALL,,,3,,1,1
EL,MPED151,Electrical Drives Laboratory,LAB,,,3,,1,1
EL,MPED152,Electrical Machines Lab,LAB,,,3,,1,1
EL,AUD01,Constitution of India,LECTURE HALL,,,3,,1,1
EL,MPED103,Advanced Power ElectronicCircuits,LECTURE HALL,,,3,,1,1
EL,MPS112A,Static VAR Controllers and Harmonic Filtering,LECTURE HALL,,,3,,1,1
EL,MPS302A,FACTS/MCS,LECTURE HALL,,,3,,1,1
EL,MOEL06,Waste to Energy,LECTURE HALL,,,3,,1,1
