section_id,subject_number,instructor_uid,shared_lab,second_instructor_uid
EL 1ST SEM,PHU-153-V,Physics Department,,
EL 1ST SEM,MTU-143-V,MATH13,,
EL 1ST SEM,MEU-103-V,MECH05; MECH08;MECH09,,
EL 1ST SEM,CSU-101-V,CSE48,,
EL 1ST SEM,MEU-101-V,ME Workshop,,
EL 1ST SEM,PHU-155-V,Physics Department,,
EL 1ST SEM,CSU-103-V,CSE48,,
EL 1ST SEM,LSU- 241-V,Life Science,,
EL 3RD SEM,ELU-201-V,EL04,,
EL 3RD SEM,ELU-203-V,EL12,,
EL 3RD SEM,ELU-205-V,EL03,,
EL 3RD SEM,ELU-207-V,EE15,,
EL 3RD SEM,OEU-201-V,MECH13,,
EL 3RD SEM,MTU-217-V,Math 12,,
EL 3RD SEM,VAC-112-V,EL 15,,
EL 3RD SEM,ELU-209-V,EL12,,
EL 3RD SEM,ELU-211-V,EL03,yes,EL03; EL07; EL12
EL 3RD SEM,ELU-215-V,EL09,yes,EL11;EL9
EL 3RD SEM,ELU-213-V,EL 16,,
EL 5TH SEM,ELU-301-V,EL06,,
EL 5TH SEM,ELU-303-V,EL02,,
EL 5TH SEM,ELU-305-V,EL11,,
EL 5TH SEM,LSU-241-V,Life Science,,
EL 5TH SEM,ELU-317-V,EL08,,
EL 5TH SEM,OEU-264-V,CSE33,,
EL 5TH SEM,ELU-307-V,EL06,yes,EL09; EL10
EL 5TH SEM,ELU-309-V,EL04,yes,EL02;EL05
EL 5TH SEM,ELU-311-V,EL11,yes,EL14
EL 5TH SEM,ELU-313-V,EL 16,,
EL 5TH SEM,ELU-315-V,EL07;EL03,yes,EL03
EL 7TH SEM,ELU-407-V,EL05,,
EL 7TH SEM,ELU-409-V,EL17,,
EL 7TH SEM,ELU-411-V,EL10,,
EL 7TH SEM,OEU-260-V,EL07,,
EL 7TH SEM,OEU-220-V,CSE38,,
EL 7TH SEM,OEU-224-V,CSE35,,
EL 7TH SEM,ELOE-104,CSE32,,
EL 7TH SEM,ELU-401-V,EL04,yes,EL06
EL 7TH SEM,ELU-403-V,EL 16,,
EL 7TH SEM,OEU-206-V,MBA Dept,,
MPED 1ST SEM,MPED101,EL01,,
MPED 1ST SEM,MPED102,EL17,,
MPED 1ST SEM,RM101,COMMON SUBJECT,,
MPED 1ST SEM,MPED151,EL01,,
MPED 1ST SEM,MPED152,EL18,,
MPED 1ST SEM,AUD01,EL15,,
MPED 1ST SEM,MPED103,EL08,,
MPED 1ST SEM,MPS112A,EL18,,
MPED 3RD SEM,MPS302A,EL02,,
MPED 3RD SEM,Audit Course,With ME department,,
