section_id,subject_number
EL 1ST SEM,PHU-153-V
EL 1ST SEM,MTU-143-V
EL 1ST SEM,MEU-103-V
EL 1ST SEM,CSU-101-V
EL 1ST SEM,MEU-101-V
EL 1ST SEM,PHU-155-V
EL 1ST SEM,CSU-103-V
EL 1ST SEM,LSU- 241-V
EL 3RD SEM,ELU-201-V
EL 3RD SEM,ELU-203-V
EL 3RD SEM,ELU-205-V
EL 3RD SEM,ELU-207-V
EL 3RD SEM,OEU-201-V
EL 3RD SEM,MTU-217-V
EL 3RD SEM,VAC-112-V
EL 3RD SEM,ELU-209-V
EL 3RD SEM,ELU-211-V
EL 3RD SEM,ELU-215-V
EL 3RD SEM,ELU-213-V
EL 5TH SEM,ELU-301-V
EL 5TH SEM,ELU-303-V
EL 5TH SEM,ELU-305-V
EL 5TH SEM,LSU-241-V
EL 5TH SEM,ELU-317-V
EL 5TH SEM,OEU-264-V
EL 5TH SEM,ELU-307-V
EL 5TH SEM,ELU-309-V
EL 5TH SEM,ELU-311-V
EL 5TH SEM,ELU-313-V
EL 5TH SEM,ELU-315-V
EL 7TH SEM,ELU-407-V
EL 7TH SEM,ELU-409-V
EL 7TH SEM,ELU-411-V
EL 7TH SEM,OEU-260-V
EL 7TH SEM,OEU-220-V
EL 7TH SEM,OEU-224-V
EL 7TH SEM,ELOE-104
EL 7TH SEM,ELU-401-V
EL 7TH SEM,ELU-403-V
EL 7TH SEM,OEU-206-V
